Artist 1,Artist 2,Popular Collab,URL,Popularity,Artist From
John Mayer,Zedd,Automatic Yes (feat. John Mayer),https://open.spotify.com/track/6oAwQp0fXsZObpl5PLl2GN,55.0,Artists in Different Playlists
John Mayer,Eric Clapton,Magnolia (feat. John Mayer),https://open.spotify.com/track/0VzLAYIns618H651sG09Gp,50.0,Artists from Same Playlist
John Mayer,Billy Joel,"This Is The Time (feat. John Mayer) - Live at Shea Stadium, Queens, NY - July 2008",https://open.spotify.com/track/5Wf8sdQL7e9vHOVBDdGRdd,26.0,Artists from Same Playlist
fun.,Panic! At The Disco,C'mon - Single Version,https://open.spotify.com/track/53c9tTEHXWL5GkYNalbXZ3,50.0,Artists in Different Playlists
The Killers,Phoebe Bridgers,Runaway Horses (feat. Phoebe Bridgers) - Abridged,https://open.spotify.com/track/3PeCWDczrGqdD1E3mbok2X,41.0,Artists from Same Playlist
The Killers,Clean Bandit,Caution - Clean Bandit Remix,https://open.spotify.com/track/73A4FC5eIihO0swjveMDTl,28.0,Artists in Different Playlists
Snow Patrol,Gary Lightbody,On/Off,https://open.spotify.com/track/3JNGLHIM47zhjcJZJ5DTY2,2.0,Artists from Same Playlist
Coldplay,David Guetta,My Universe - David Guetta Remix,https://open.spotify.com/track/5FvxRvrQ8qzKjBJ6ST9aiu,45.0,Artists in Different Playlists
Coldplay,BTS,My Universe,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,75.0,Artists in Different Playlists
Coldplay,Selena Gomez,Let Somebody Go,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf,66.0,Artists in Different Playlists
Coldplay,The Chainsmokers,Something Just Like This,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,86.0,Artists in Different Playlists
Coldplay,Kygo,Midnight - Kygo Remix,https://open.spotify.com/track/2CoWJhDYVENsByS7rPInSr,46.0,Artists in Different Playlists
Kodaline,Kygo,Raging (feat. Kodaline),https://open.spotify.com/track/2Vhd5uZB4brKHmM0MNxkZo,59.0,Artists in Different Playlists
Kings of Leon,Mark Ronson,Pistol of Fire - Mark Ronson Remix,https://open.spotify.com/track/2qOOsAgIpqXElQN7fkfj9N,18.0,Artists in Different Playlists
