,Name,ID,Genres,Followers,Popularity
0,John Mayer,0hEurMDQu99nJRq8pTxO14,"['neo mellow', 'singer-songwriter']",6079276,79
1,fun.,5nCi3BB41mBaMH9gfr6Su0,"['baroque pop', 'metropopolis', 'neo mellow']",3075565,68
2,The Killers,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7553036,79
3,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",3094812,71
4,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",54734700,92
5,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",6458395,73
6,Eagles,0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",11155447,77
7,James Blunt,7KMqksf0UMdyA0UCf4R3ux,['neo mellow'],3072152,73
8,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,"['irish pop', 'modern rock', 'neo mellow']",3088119,69
9,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,"['modern rock', 'rock']",5508563,77
10,Queen,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']",51932608,86
11,Green Day,7oPftvlwr6VrsViSDV7fJY,"['modern rock', 'permanent wave', 'punk', 'rock']",15721560,83
12,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,"['album rock', 'classic rock', 'hard rock', 'rock']",14848435,77
13,The Cure,7bu3H8JO7d0UbMoVzbo70s,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",5912038,80
14,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",10887620,81
15,The Script,3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'pop']",8292605,78
16,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",6421307,79
17,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,"['indie pop', 'la indie', 'pov: indie']",2617557,80
18,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",12301922,83
19,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']",17627228,84
20,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27616056,93
21,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2993621,76
22,Gary Lightbody,3fCQnw6VSudXBTN5d2QP2z,['british singer-songwriter'],220026,54
23,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,"['indietronica', 'modern alternative rock', 'modern rock', 'pov: indie', 'stomp and holler']",1627774,67
24,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",28780119,86
25,ABBA,0LcJLqbBmaGUft1e9Mm8HV,"['europop', 'swedish pop']",13162421,82
26,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],43205328,87
27,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,['pop'],12415964,78
28,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,"['folk-pop', 'neo-singer-songwriter']",4248666,75
29,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",6070728,73
30,U2,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",12699333,78
31,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,"['folk', 'lilith', 'singer-songwriter', ""women's music""]",1855350,72
32,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",117243313,89
33,Hozier,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",8057914,86
34,Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],126148293,100
